Date,High,Low,Open,Close,Volume,Adj Close
2018-12-05,3961.8,3719.1899,3948.4399,3737.53,320944415,3737.53
2018-12-06,3883.4299,3467.9199,3737.53,3485.1799,590923562,3485.1799
2018-12-07,3576.1101,3248.0,3485.1799,3420.5701,699930576,3420.5701
2018-12-08,3602.49,3295.21,3420.5701,3461.0701,357548590,3461.0701
2018-12-09,3718.5801,3436.5,3461.0701,3592.8401,295321498,3592.8401
2018-12-10,3645.49,3416.77,3592.8401,3467.1599,287119758,3467.1599
2018-12-11,3483.5801,3348.98,3467.1599,3401.02,230671778,3401.02
2018-12-12,3545.3701,3380.48,3401.02,3485.5901,257293632,3485.5901
2018-12-13,3493.76,3272.8101,3485.5901,3305.1101,286236674,3305.1101
2018-12-14,3333.24,3180.97,3305.1101,3235.48,290985461,3235.48
2018-12-15,3271.76,3169.53,3235.48,3232.51,165378769,3232.51
2018-12-16,3319.8301,3227.3999,3232.51,3255.3701,148182655,3255.3701
2018-12-17,3639.6499,3239.0601,3255.3701,3548.1899,412454521,3548.1899
2018-12-18,3727.99,3481.46,3548.1899,3715.8501,327807644,3715.8501
2018-12-19,3969.7,3693.5701,3715.8501,3736.54,620695447,3736.54
2018-12-20,4225.52,3712.8201,3736.54,4137.6602,724855205,4137.6602
2018-12-21,4247.71,3831.2,4137.6602,3898.8101,516656937,3898.8101
2018-12-22,4060.3401,3849.23,3898.8101,4045.24,250085915,4045.24
2018-12-23,4117.6499,3972.3899,4045.24,4007.6299,235997621,4007.6299
2018-12-24,4303.3701,4006.6001,4007.6299,4081.95,459290147,4081.95
2018-12-25,4094.6101,3734.8501,4081.95,3834.73,367200910,3834.73
2018-12-26,3923.9299,3746.8601,3834.73,3848.78,263439573,3848.78
2018-12-27,3888.9199,3622.3899,3848.78,3646.0901,305729129,3646.0901
2018-12-28,4007.71,3628.4299,3646.0901,3947.8601,353705007,3947.8601
2018-12-29,4004.1399,3774.3799,3947.8601,3797.0601,214891355,3797.0601
2018-12-30,3925.1799,3760.8,3797.0601,3896.21,191958416,3896.21
2018-12-31,3904.28,3701.48,3896.21,3747.3899,206190463,3747.3899
2019-01-01,3938.75,3696.9399,3747.3899,3880.1499,170598307,3880.1499
2019-01-02,3989.5901,3826.29,3880.1499,3961.01,210854603,3961.01
2019-01-03,3965.52,3778.76,3961.01,3835.8601,176488072,3835.8601
2019-01-04,3901.6499,3783.8799,3835.8601,3874.0601,170507611,3874.0601
2019-01-05,3926.9199,3841.1299,3874.0601,3855.3899,139438510,3855.3899
2019-01-06,4145.1602,3829.0901,3855.3899,4102.8501,236298043,4102.8501
2019-01-07,4132.6201,4001.3501,4102.8501,4050.3999,209289368,4050.3999
2019-01-08,4156.1602,3990.3401,4050.3999,4040.75,268091045,4040.75
2019-01-09,4092.9099,4013.0,4040.75,4048.3401,223639028,4048.3401
2019-01-10,4085.0901,3631.0701,4048.3401,3668.1499,412522198,3668.1499
2019-01-11,3729.6899,3616.4099,3668.1499,3669.2,231465488,3669.2
2019-01-12,3692.1201,3611.2,3669.2,3664.3799,103912541,3664.3799
2019-01-13,3675.2,3528.24,3664.3799,3551.24,164125048,3551.24
2019-01-14,3748.8799,3544.53,3551.24,3703.8999,204793029,3703.8999
2019-01-15,3724.3,3590.49,3703.8999,3621.24,198582447,3621.24
2019-01-16,3704.3701,3611.3799,3621.24,3643.99,196211595,3643.99
2019-01-17,3695.28,3586.9199,3643.99,3685.3,168287506,3685.3
2019-01-18,3685.3899,3620.4399,3685.3,3648.05,118317804,3648.05
2019-01-19,3799.6201,3643.01,3648.05,3729.78,143238228,3729.78
2019-01-20,3754.6499,3529.25,3729.78,3567.73,177628515,3567.73
2019-01-21,3599.8301,3535.1899,3567.73,3571.9199,129000924,3571.9199
2019-01-22,3635.6899,3473.77,3571.9199,3602.04,191355241,3602.04
2019-01-23,3631.1499,3543.96,3602.04,3572.05,135864247,3572.05
2019-01-24,3616.3301,3546.5,3572.05,3598.52,113155246,3598.52
2019-01-25,3607.4299,3539.4099,3598.52,3582.8899,116674680,3582.8899
2019-01-26,3676.3999,3578.6201,3582.8899,3596.5,105927045,3596.5
2019-01-27,3605.99,3511.29,3596.5,3565.0801,93766117,3565.0801
2019-01-28,3567.5601,3402.5601,3565.0801,3453.4199,206309738,3453.4199
2019-01-29,3463.2,3369.1899,3453.4199,3418.25,158106687,3418.25
2019-01-30,3488.9099,3395.9399,3418.25,3467.21,146422486,3467.21
2019-01-31,3499.78,3422.8301,3467.21,3434.1299,128773893,3434.1299
2019-02-01,3478.55,3398.96,3434.1299,3461.6299,144476056,3461.6299
2019-02-02,3519.1399,3441.21,3461.6299,3508.6799,94144187,3508.6799
2019-02-03,3514.4299,3424.4199,3508.6799,3449.6201,79591219,3449.6201
2019-02-04,3470.8,3429.21,3449.6201,3431.24,82280894,3431.24
2019-02-05,3447.8799,3415.6699,3431.24,3447.6599,84042727,3447.6599
2019-02-06,3459.3301,3362.24,3447.6599,3394.8899,150408587,3394.8899
2019-02-07,3406.54,3369.1001,3394.8899,3375.3301,97390901,3375.3301
2019-02-08,3735.1001,3363.3201,3375.3301,3660.03,317023029,3660.03
2019-02-09,3673.71,3616.1101,3660.03,3652.26,94200588,3652.26
2019-02-10,3689.3201,3611.46,3652.26,3685.1399,109365095,3685.1399
2019-02-11,3688.5901,3608.1799,3685.1399,3611.3401,146354074,3611.3401
2019-02-12,3648.6699,3574.22,3611.3401,3617.4099,164816438,3617.4099
2019-02-13,3655.8899,3590.01,3617.4099,3605.8701,146822348,3605.8701
2019-02-14,3619.7,3567.3899,3605.8701,3588.72,117804856,3588.72
2019-02-15,3640.6499,3575.95,3588.72,3593.49,130398989,3593.49
2019-02-16,3639.75,3592.04,3593.49,3617.24,86973822,3617.24
2019-02-17,3706.1699,3608.1799,3617.24,3670.9199,134218331,3670.9199
2019-02-18,3952.4399,3661.4199,3670.9199,3912.5701,376203280,3912.5701
2019-02-19,4010.9099,3882.52,3912.5701,3924.24,292137057,3924.24
2019-02-20,3992.3101,3898.9099,3924.24,3974.05,209282292,3974.05
2019-02-21,4026.54,3900.28,3974.05,3937.04,187314178,3937.04
2019-02-22,3996.1499,3917.6599,3937.04,3983.53,170405341,3983.53
2019-02-23,4192.3901,3948.48,3983.53,4149.0898,231174632,4149.0898
2019-02-24,4221.6201,3755.3799,4149.0898,3771.6201,319071544,3771.6201
2019-02-25,3885.0601,3771.53,3771.6201,3845.51,185036583,3845.51
2019-02-26,3852.6599,3791.8999,3845.51,3817.8799,126868886,3817.8799
2019-02-27,3851.8401,3699.53,3817.8799,3830.72,175069054,3830.72
2019-02-28,3909.8601,3798.0,3830.72,3823.3701,170646670,3823.3701
2019-03-01,3866.1201,3822.6699,3823.3701,3831.48,101774924,3831.48
2019-03-02,3846.3799,3790.74,3831.48,3842.9399,73894412,3842.9399
2019-03-03,3853.28,3788.04,3842.9399,3812.3101,64065044,3812.3101
2019-03-04,3831.01,3705.1399,3812.3101,3731.28,147245676,3731.28
2019-03-05,3893.52,3720.49,3731.28,3874.1799,165062256,3874.1799
2019-03-06,3916.29,3839.3899,3874.1799,3874.98,129520549,3874.98
2019-03-07,3911.76,3853.2,3874.98,3882.6101,146201726,3882.6101
2019-03-08,3932.02,3804.98,3882.6101,3868.02,153405087,3868.02
2019-03-09,3975.25,3860.6599,3868.02,3947.74,108370246,3947.74
2019-03-10,3948.21,3897.8201,3947.74,3929.8401,68252920,3929.8401
2019-03-11,3941.99,3849.45,3929.8401,3874.8899,126998648,3874.8899
2019-03-12,3904.7,3827.23,3874.8899,3888.5701,130291591,3888.5701
2019-03-13,3898.25,3853.0601,3888.5701,3878.4399,108286926,3878.4399
2019-03-14,3922.21,3825.03,3878.4399,3881.4399,133931876,3881.4399
2019-03-15,3935.1001,3876.1699,3881.4399,3927.0801,125588541,3927.0801
2019-03-16,4069.1101,3924.98,3927.0801,4027.01,166216280,4027.01
2019-03-17,4030.3799,3970.97,4027.01,3998.0,68146133,3998.0
2019-03-18,4038.99,3964.3101,3998.0,3988.8501,109428478,3988.8501
2019-03-19,4032.04,3972.47,3988.8501,4024.1399,118919147,4024.1399
2019-03-20,4064.95,3995.49,4024.1399,4056.75,148490744,4056.75
2019-03-21,4082.29,3953.53,4056.75,3996.9299,178077036,3996.9299
2019-03-22,4018.21,3984.0,3996.9299,4000.8401,90726555,4000.8401
2019-03-23,4019.3601,3982.47,4000.8401,4007.21,74094017,4007.21
2019-03-24,4010.3,3970.3501,4007.21,3994.1101,64375076,3994.1101
2019-03-25,4005.29,3887.6799,3994.1101,3924.55,136398998,3924.55
2019-03-26,3943.2,3902.52,3924.55,3942.22,93805733,3942.22
2019-03-27,4054.3201,3932.79,3942.22,4045.98,149005782,4045.98
2019-03-28,4046.4399,4014.6899,4045.98,4036.45,102296341,4036.45
2019-03-29,4122.8901,4031.22,4036.45,4111.3799,170915132,4111.3799
2019-03-30,4146.8799,4066.8701,4111.3799,4118.1299,102400533,4118.1299
2019-03-31,4129.4302,4098.79,4118.1299,4112.6899,56727425,4112.6899
2019-03-31,4164.3301,4082.2,4112.6899,4151.3198,152826759,4151.3198
2019-04-01,5104.4199,4147.7002,4151.3198,4906.9302,814748125,4906.9302
2019-04-02,5335.7002,4831.5898,4906.9302,4976.5898,809158339,4976.5898
2019-04-03,5071.98,4799.77,4976.5898,4913.3599,370109007,4913.3599
2019-04-04,5074.1299,4897.6099,4913.3599,5047.23,280722247,5047.23
2019-04-05,5240.1899,4938.0,5047.23,5057.25,275839573,5057.25
2019-04-06,5266.04,5044.2798,5057.25,5201.1602,243329883,5201.1602
2019-04-07,5347.8799,5141.23,5201.1602,5294.0898,366577921,5294.0898
2019-04-08,5294.0898,5159.1299,5294.0898,5201.2998,253577595,5201.2998
2019-04-09,5460.9399,5178.6099,5201.2998,5318.6001,349643837,5318.6001
2019-04-10,5343.6602,4987.6499,5318.6001,5048.5601,356811374,5048.5601
2019-04-11,5118.6099,4927.6201,5048.5601,5081.5,220667543,5081.5
2019-04-12,5128.96,5056.1899,5081.5,5080.6602,118956124,5080.6602
2019-04-13,5186.8198,5031.2002,5080.6602,5165.5898,108148233,5165.5898
2019-04-14,5195.3101,4969.3101,5165.5898,5037.27,205867031,5037.27
2019-04-15,5232.0298,5029.1602,5037.27,5212.8101,207311534,5212.8101
2019-04-16,5270.7598,5190.8101,5212.8101,5236.2598,194699629,5236.2598
2019-04-17,5317.7798,5232.9902,5236.2598,5289.75,187312150,5289.75
2019-04-18,5353.0098,5212.1802,5289.75,5295.5298,158699049,5295.5298
2019-04-19,5366.6001,5274.4502,5295.5298,5326.1802,123577001,5326.1802
2019-04-20,5348.5898,5232.77,5326.1802,5305.7402,134681237,5305.7402
2019-04-21,5444.7598,5265.73,5305.7402,5394.6699,242498187,5394.6699
2019-04-22,5626.8301,5371.3101,5394.6699,5539.1001,368556751,5539.1001
2019-04-23,5633.0,5390.98,5539.1001,5454.5801,339093001,5454.5801
2019-04-24,5521.6099,5031.6899,5454.5801,5162.6699,374798664,5162.6699
2019-04-25,5361.9399,5104.1802,5162.6699,5234.0898,366773360,5234.0898
2019-04-26,5282.9702,5192.4502,5234.0898,5229.48,113430273,5229.48
2019-04-28,5255.0801,5218.4199,5232.02,5240.9502,17516514,5240.9502
