Date,High,Low,Open,Close,Volume,Adj Close
2018-06-03,7760.73,7469.21,7719.73,7503.2002,427448262,7503.2002
2018-06-04,7672.7002,7394.9702,7503.3198,7629.3999,440337235,7629.3999
2018-06-05,7701.3501,7504.98,7629.3999,7661.79,396116252,7661.79
2018-06-06,7755.9199,7651.1299,7661.79,7700.1099,342475552,7700.1099
2018-06-07,7709.6099,7559.5,7700.3999,7627.52,310119047,7627.52
2018-06-08,7691.7402,7495.7202,7627.5601,7513.6899,218013881,7513.6899
2018-06-09,7514.04,6661.98,7513.7598,6773.7202,895514425,6773.7202
2018-06-10,6913.8501,6652.8901,6773.7202,6887.3701,482788065,6887.3701
2018-06-11,6888.3301,6462.6099,6887.4302,6556.9399,509372466,6556.9399
2018-06-12,6623.0,6140.6299,6556.9399,6310.4302,797087281,6310.4302
2018-06-13,6719.4399,6286.23,6310.4302,6643.2598,620296377,6643.2598
2018-06-14,6667.23,6380.6899,6643.6299,6396.71,379228601,6396.71
2018-06-15,6569.1499,6345.9902,6396.71,6503.1001,232802782,6503.1001
2018-06-16,6585.77,6446.3799,6503.1001,6457.7798,224575526,6457.7798
2018-06-17,6802.0298,6401.4102,6457.7798,6714.8198,430241689,6714.8198
2018-06-18,6839.6001,6672.2002,6714.5601,6741.2798,370797057,6741.2798
2018-06-19,6817.8999,6569.96,6741.2798,6761.27,400530201,6761.27
2018-06-20,6790.0801,6687.6602,6761.27,6720.6401,295690715,6720.6401
2018-06-21,6731.5098,5941.3198,6720.6401,6051.4702,862826624,6051.4702
2018-06-22,6257.8799,6033.2002,6051.4702,6166.54,350697378,6166.54
2018-06-23,6254.02,5782.1299,6166.3599,6157.7798,667479078,6157.7798
2018-06-24,6344.4502,6095.25,6157.7798,6260.3501,492834172,6260.3501
2018-06-25,6286.3599,6067.4902,6260.3999,6088.3901,391396653,6088.3901
2018-06-26,6192.1099,6021.6899,6092.2598,6141.5698,383457137,6141.5698
2018-06-27,6172.23,5844.2598,6141.5698,5871.2798,385907044,5871.2798
2018-06-28,6286.6699,5813.02,5870.8101,6203.7998,554799001,6203.7998
2018-06-29,6503.3301,6194.5098,6203.8101,6385.3799,419284677,6385.3799
2018-06-30,6429.5,6262.7202,6385.4302,6339.04,259708490,6339.04
2018-07-01,6673.71,5537.8599,6342.6899,6615.6602,465915661,6615.6602
2018-07-02,6670.2998,6473.48,6616.6001,6509.5801,356390898,6509.5801
2018-07-03,6777.9702,6411.1299,6508.4302,6590.0601,412202352,6590.0601
2018-07-04,6691.3198,6448.23,6589.77,6534.8101,421189063,6534.8101
2018-07-05,6633.4399,6458.1401,6534.8101,6602.02,310759733,6602.02
2018-07-06,6814.4199,6518.23,6602.0298,6758.0801,277167900,6758.0801
2018-07-07,6782.8501,6684.1499,6758.0801,6707.3799,268455446,6707.3799
2018-07-08,6803.1001,6625.5801,6707.46,6668.8398,328316145,6668.8398
2018-07-09,6683.6099,6277.23,6668.8398,6306.8501,470432142,6306.8501
2018-07-10,6405.5898,6293.6802,6306.8701,6394.3599,327667754,6394.3599
2018-07-11,6394.9302,6084.0,6394.3599,6253.6001,409078182,6253.6001
2018-07-12,6349.21,6131.54,6253.6602,6229.8301,319802271,6229.8301
2018-07-13,6332.46,6190.1802,6229.6099,6268.75,174416786,6268.75
2018-07-14,6401.5,6245.75,6268.3198,6364.2598,218543291,6364.2598
2018-07-15,6761.8398,6349.8301,6364.2598,6740.5498,494264915,6740.5498
2018-07-16,7476.2402,6677.5601,6740.54,7326.7002,799401451,7326.7002
2018-07-17,7590.6499,7253.71,7326.7598,7383.3901,788460811,7383.3901
2018-07-18,7563.7002,7289.8999,7383.3901,7477.5,522544440,7477.5
2018-07-19,7676.5498,7279.3398,7477.1001,7333.9302,603034414,7333.9302
2018-07-20,7453.0698,7220.3701,7333.9302,7405.3999,297440355,7405.3999
2018-07-21,7569.2798,7345.25,7405.3999,7398.6401,355565264,7398.6401
2018-07-22,7798.5898,7376.6602,7398.6401,7718.0,745533303,7718.0
2018-07-23,8485.71,7692.1602,7718.0,8395.8203,1166560702,8395.8203
2018-07-24,8481.1104,8061.0698,8395.8096,8170.23,736530740,8170.23
2018-07-25,8302.2402,7862.6699,8170.3701,7937.25,643953970,7937.25
2018-07-26,8278.0098,7806.25,7937.1001,8182.8901,646256012,8182.8901
2018-07-27,8238.04,8070.04,8182.8799,8230.8701,295872316,8230.8701
2018-07-28,8291.5498,8123.5298,8230.8203,8216.7803,280233415,8216.7803
2018-07-29,8273.6104,7867.4399,8216.7002,8176.0601,681120739,8176.0601
2018-07-30,8176.27,7663.7002,8176.0801,7735.2998,765186307,7735.2998
