Date,Close
2016-01-01,433.99
2016-01-02,433.72
2016-01-03,430.7
2016-01-04,433.32
2016-01-05,431.2
2016-01-06,430.82
2016-01-07,457.05
2016-01-08,452.87
2016-01-09,448.31
2016-01-10,446.19
2016-01-11,447.72
2016-01-12,445.04
2016-01-13,432.18
2016-01-14,429.13
2016-01-15,372.26
2016-01-16,385.04
2016-01-17,382.47
2016-01-18,384.4
2016-01-19,379.46
2016-01-20,414.58
2016-01-21,410.24
2016-01-22,382.65
2016-01-23,388.61
2016-01-24,402.13
2016-01-25,392.76
2016-01-26,389.78
2016-01-27,395.02
2016-01-28,379.69
2016-01-29,380.29
2016-01-30,377.76
2016-01-31,369.84
2016-02-01,372.18
2016-02-02,373.92
2016-02-03,368.02
2016-02-04,390.65
2016-02-05,386.46
2016-02-06,376.68
2016-02-07,377.94
2016-02-08,372.63
2016-02-09,375.32
2016-02-10,381.88
2016-02-11,379.45
2016-02-12,384.04
2016-02-13,390.1
2016-02-14,405.5
2016-02-15,401.07
2016-02-16,406.42
2016-02-17,417.14
2016-02-18,421.4
2016-02-19,419.98
2016-02-20,440.06
2016-02-21,437.87
2016-02-22,437.79
2016-02-23,419.9
2016-02-24,422.72
2016-02-25,423.48
2016-02-26,427.32
2016-02-27,431.3
2016-02-28,432.47
2016-02-29,436.21
2016-03-01,434.04
2016-03-02,425.36
2016-03-03,419.56
2016-03-04,409.48
2016-03-05,399.0
2016-03-06,405.96
2016-03-07,414.87
2016-03-08,411.9
2016-03-09,412.76
2016-03-10,415.83
2016-03-11,419.11
2016-03-12,410.36
2016-03-13,412.41
2016-03-14,414.31
2016-03-15,415.13
2016-03-16,415.91
2016-03-17,418.16
2016-03-18,408.16
2016-03-19,408.69
2016-03-20,411.53
2016-03-21,411.11
2016-03-22,416.21
2016-03-23,416.98
2016-03-24,414.74
2016-03-25,415.71
2016-03-26,416.51
2016-03-27,424.57
2016-03-27,422.21
2016-03-28,415.0
2016-03-29,412.44
2016-03-30,415.66
2016-03-31,415.64
2016-04-01,418.51
2016-04-02,419.06
2016-04-03,419.33
2016-04-04,422.07
2016-04-05,421.26
2016-04-06,420.14
2016-04-07,417.69
2016-04-08,418.05
2016-04-09,420.25
2016-04-10,421.43
2016-04-11,424.74
2016-04-12,423.47
2016-04-13,424.02
2016-04-14,428.67
2016-04-15,430.05
2016-04-16,426.26
2016-04-17,427.69
2016-04-18,434.92
2016-04-19,441.16
2016-04-20,449.34
2016-04-21,445.28
2016-04-22,450.08
2016-04-23,457.56
2016-04-24,461.73
2016-04-25,466.0
2016-04-26,447.01
2016-04-27,448.48
2016-04-28,454.98
2016-04-29,448.53
2016-04-30,452.24
2016-05-01,444.18
2016-05-02,450.27
2016-05-03,445.8
2016-05-04,448.08
2016-05-05,459.56
2016-05-06,458.46
2016-05-07,457.87
2016-05-08,460.44
2016-05-09,449.36
2016-05-10,452.5
2016-05-11,454.43
2016-05-12,455.41
2016-05-13,456.44
2016-05-14,458.11
2016-05-15,454.87
2016-05-16,453.25
2016-05-17,454.22
2016-05-18,442.66
2016-05-19,442.11
2016-05-20,443.64
2016-05-21,439.62
2016-05-22,443.69
2016-05-23,446.11
2016-05-24,449.78
2016-05-25,453.3
2016-05-26,474.05
2016-05-27,524.22
2016-05-28,516.05
2016-05-29,532.26
2016-05-30,528.92
2016-05-31,537.4
2016-06-01,537.1
2016-06-02,567.03
2016-06-03,571.95
2016-06-04,574.91
2016-06-05,583.58
2016-06-06,575.58
2016-06-07,580.51
2016-06-08,574.69
2016-06-09,577.89
2016-06-10,591.6
2016-06-11,666.55
2016-06-12,700.07
2016-06-13,685.14
2016-06-14,690.77
2016-06-15,761.21
2016-06-16,743.9
2016-06-17,753.77
2016-06-18,761.04
2016-06-19,733.97
2016-06-20,667.38
2016-06-21,590.56
2016-06-22,620.84
2016-06-23,656.89
2016-06-24,663.52
2016-06-25,625.41
2016-06-26,644.66
2016-06-27,644.89
2016-06-28,636.54
2016-06-29,670.02
2016-06-30,674.57
2016-07-01,698.06
2016-07-02,661.64
2016-07-03,675.16
2016-07-04,663.67
2016-07-05,672.7
2016-07-06,635.25
2016-07-07,662.78
2016-07-08,651.83
2016-07-09,647.11
2016-07-10,646.71
2016-07-11,670.56
2016-07-12,661.15
2016-07-13,657.25
2016-07-14,664.2
2016-07-15,660.69
2016-07-16,676.33
2016-07-17,670.38
2016-07-18,671.1
2016-07-19,664.4
2016-07-20,664.62
2016-07-21,651.11
2016-07-22,655.16
2016-07-23,659.29
2016-07-24,654.0
2016-07-25,654.38
2016-07-26,654.54
2016-07-27,654.13
2016-07-28,655.43
2016-07-29,654.74
2016-07-30,621.87
2016-07-31,607.0
2016-08-01,513.43
2016-08-02,566.44
2016-08-03,576.22
2016-08-04,574.66
2016-08-05,586.45
2016-08-06,590.85
2016-08-07,589.24
2016-08-08,585.25
2016-08-09,590.94
2016-08-10,587.84
2016-08-11,587.14
2016-08-12,584.59
2016-08-13,569.06
2016-08-14,566.95
2016-08-15,580.19
2016-08-16,572.34
2016-08-17,573.39
2016-08-18,574.56
2016-08-19,582.61
2016-08-20,580.66
2016-08-21,587.47
2016-08-22,583.56
2016-08-23,579.66
2016-08-24,577.96
2016-08-25,579.37
2016-08-26,570.35
2016-08-27,574.98
2016-08-28,574.23
2016-08-29,577.32
2016-08-30,573.88
2016-08-31,571.99
2016-09-01,575.29
2016-09-02,598.84
2016-09-03,609.55
2016-09-04,605.76
2016-09-05,610.44
2016-09-06,613.21
2016-09-07,625.57
2016-09-08,623.16
2016-09-09,624.52
2016-09-10,605.61
2016-09-11,607.98
2016-09-12,608.61
2016-09-13,609.54
2016-09-14,608.11
2016-09-15,607.78
2016-09-16,607.08
2016-09-17,610.7
2016-09-18,609.85
2016-09-19,609.24
2016-09-20,597.16
2016-09-21,595.63
2016-09-22,602.92
2016-09-23,602.59
2016-09-24,601.49
2016-09-25,606.54
2016-09-26,605.47
2016-09-27,604.67
2016-09-28,604.7
2016-09-29,608.14
2016-09-30,613.41
2016-10-01,610.69
2016-10-02,611.6
2016-10-03,608.96
2016-10-04,611.82
2016-10-05,610.97
2016-10-06,616.03
2016-10-07,617.65
2016-10-08,615.77
2016-10-09,617.29
2016-10-10,640.45
2016-10-11,635.99
2016-10-12,635.6
2016-10-13,637.92
2016-10-14,637.03
2016-10-15,640.12
2016-10-16,637.37
2016-10-17,635.34
2016-10-18,629.06
2016-10-19,628.34
2016-10-20,630.45
2016-10-21,655.48
2016-10-22,653.03
2016-10-23,650.49
2016-10-24,651.0
2016-10-25,674.67
2016-10-26,682.3
2016-10-27,686.24
2016-10-28,714.95
2016-10-29,697.27
2016-10-31,698.67
2016-11-01,726.76
2016-11-02,733.51
2016-11-03,684.87
2016-11-04,702.08
2016-11-05,702.11
2016-11-06,709.91
2016-11-07,705.4
2016-11-08,710.9
2016-11-09,721.42
2016-11-10,714.57
2016-11-11,714.97
2016-11-12,704.27
2016-11-13,701.97
2016-11-14,704.56
2016-11-15,711.1
2016-11-16,740.28
2016-11-17,737.53
2016-11-18,746.96
2016-11-19,747.89
2016-11-20,728.51
2016-11-21,736.19
2016-11-22,749.34
2016-11-23,741.07
2016-11-24,735.31
2016-11-25,740.39
2016-11-26,734.14
2016-11-27,729.42
2016-11-28,733.3
2016-11-29,732.56
2016-11-30,742.49
2016-12-01,752.63
2016-12-02,770.94
2016-12-03,764.24
2016-12-04,766.39
2016-12-05,754.34
2016-12-06,758.21
2016-12-07,765.56
2016-12-08,768.49
2016-12-09,770.48
2016-12-10,774.0
2016-12-11,767.91
2016-12-12,778.47
2016-12-13,778.74
2016-12-14,776.5
2016-12-15,775.21
2016-12-16,782.05
2016-12-17,787.17
2016-12-18,789.01
2016-12-19,789.79
2016-12-20,799.1
2016-12-21,829.21
2016-12-22,860.15
2016-12-23,917.17
2016-12-24,891.07
2016-12-25,891.07
2016-12-26,898.38
2016-12-27,925.78
2016-12-28,972.17
2016-12-29,971.08
2016-12-30,959.04
2016-12-31,963.38
2017-01-01,995.44
2017-01-02,1017.05
2017-01-03,1033.3
2017-01-04,1135.41
2017-01-05,989.35
2017-01-06,886.16
2017-01-07,888.87
2017-01-08,900.86
2017-01-09,899.78
2017-01-10,904.37
2017-01-11,785.43
2017-01-12,810.11
2017-01-13,824.83
2017-01-14,819.63
2017-01-15,821.17
2017-01-16,827.34
2017-01-17,899.66
2017-01-18,872.03
2017-01-19,895.21
2017-01-20,892.91
2017-01-21,919.84
2017-01-22,918.84
2017-01-23,921.46
2017-01-24,893.75
2017-01-25,894.41
2017-01-26,915.56
2017-01-27,918.01
2017-01-28,918.51
2017-01-29,914.55
2017-01-30,920.73
2017-01-31,965.49
2017-02-01,982.43
2017-02-02,1003.97
2017-02-03,1013.02
2017-02-04,1031.85
2017-02-05,1016.11
2017-02-06,1024.67
2017-02-07,1049.5601
2017-02-08,1055.49
2017-02-09,978.96
2017-02-10,997.61
2017-02-11,1008.32
2017-02-12,996.52
2017-02-13,995.36
2017-02-14,1008.34
2017-02-15,1008.19
2017-02-16,1031.9301
2017-02-17,1049.41
2017-02-18,1052.28
2017-02-19,1048.89
2017-02-20,1077.5601
2017-02-21,1119.03
2017-02-22,1120.46
2017-02-23,1171.91
2017-02-24,1176.49
2017-02-25,1149.05
2017-02-26,1171.58
2017-02-27,1188.83
