,Date,Close
0,2016-01-01,434.463
1,2016-01-02,433.586
2,2016-01-03,430.361
3,2016-01-04,433.493
4,2016-01-05,432.253
5,2016-01-06,429.464
6,2016-01-07,458.28
7,2016-01-08,453.37
8,2016-01-09,449.143
9,2016-01-10,448.964
10,2016-01-11,448.385
11,2016-01-12,432.884
12,2016-01-13,432.04
13,2016-01-14,429.729
14,2016-01-15,358.766
15,2016-01-16,387.665
16,2016-01-17,380.208
17,2016-01-18,385.844
18,2016-01-19,377.745
19,2016-01-20,418.742
20,2016-01-21,409.945
21,2016-01-22,381.761
22,2016-01-23,386.191
23,2016-01-24,402.61
24,2016-01-25,390.663
25,2016-01-26,391.43
26,2016-01-27,394.629
27,2016-01-28,379.384
28,2016-01-29,378.2
29,2016-01-30,376.937
30,2016-01-31,367.135
31,2016-02-01,371.248
32,2016-02-02,372.877
33,2016-02-03,368.933
34,2016-02-04,388.612
35,2016-02-05,385.338
36,2016-02-06,375.405
37,2016-02-07,375.284
38,2016-02-08,371.101
39,2016-02-09,373.321
40,2016-02-10,379.96
41,2016-02-11,377.72
42,2016-02-12,383.126
43,2016-02-13,392.182
44,2016-02-14,406.738
45,2016-02-15,399.485
46,2016-02-16,407.361
47,2016-02-17,415.561
48,2016-02-18,421.637
49,2016-02-19,420.334
50,2016-02-20,436.517
51,2016-02-21,438.985
52,2016-02-22,438.072
53,2016-02-23,419.981
54,2016-02-24,424.362
55,2016-02-25,423.517
56,2016-02-26,432.064
57,2016-02-27,432.138
58,2016-02-28,432.64
59,2016-02-29,436.608
60,2016-03-01,433.637
61,2016-03-02,421.598
62,2016-03-03,419.466
63,2016-03-04,407.982
64,2016-03-05,397.833
65,2016-03-06,404.55
66,2016-03-07,412.982
67,2016-03-08,411.758
68,2016-03-09,412.618
69,2016-03-10,416.16
70,2016-03-11,419.887
71,2016-03-12,410.132
72,2016-03-13,412.291
73,2016-03-14,415.091
74,2016-03-15,415.383
75,2016-03-16,416.253
76,2016-03-17,418.452
77,2016-03-18,408.036
78,2016-03-19,408.52
79,2016-03-20,410.751
80,2016-03-21,411.423
81,2016-03-22,416.926
82,2016-03-23,417.386
83,2016-03-24,414.341
84,2016-03-25,415.687
85,2016-03-26,416.73
86,2016-03-27,425.378
87,2016-03-28,422.756
88,2016-03-29,415.553
89,2016-03-30,412.69
90,2016-03-31,415.161
91,2016-04-01,417.009
92,2016-04-02,419.686
93,2016-04-03,419.385
94,2016-04-04,419.416
95,2016-04-05,422.653
96,2016-04-06,421.7
97,2016-04-07,421.204
98,2016-04-08,418.089
99,2016-04-09,418.419
100,2016-04-10,421.111
101,2016-04-11,422.99
102,2016-04-12,425.99
103,2016-04-13,424.401
104,2016-04-14,425.106
105,2016-04-15,429.98
106,2016-04-16,430.837
107,2016-04-17,427.862
108,2016-04-18,429.054
109,2016-04-19,436.105
110,2016-04-20,442.156
111,2016-04-21,451.102
112,2016-04-22,447.636
113,2016-04-23,452.584
114,2016-04-24,460.327
115,2016-04-25,462.51
116,2016-04-26,467.803
117,2016-04-27,445.012
118,2016-04-28,449.856
119,2016-04-29,456.35
120,2016-04-30,449.333
121,2016-05-01,453.042
122,2016-05-02,444.513
123,2016-05-03,450.274
124,2016-05-04,446.962
125,2016-05-05,448.527
126,2016-05-06,460.374
127,2016-05-07,459.465
128,2016-05-08,459.437
129,2016-05-09,461.491
130,2016-05-10,450.987
131,2016-05-11,452.113
132,2016-05-12,454.818
133,2016-05-13,455.735
134,2016-05-14,455.753
135,2016-05-15,457.848
136,2016-05-16,453.41
137,2016-05-17,452.746
138,2016-05-18,453.378
139,2016-05-19,436.729
140,2016-05-20,442.953
141,2016-05-21,443.135
142,2016-05-22,438.773
143,2016-05-23,443.734
144,2016-05-24,445.13
145,2016-05-25,449.234
146,2016-05-26,453.819
147,2016-05-27,473.467
148,2016-05-28,525.433
149,2016-05-29,524.083
150,2016-05-30,532.586
151,2016-05-31,531.797
152,2016-06-01,536.424
153,2016-06-02,538.145
154,2016-06-03,570.471
155,2016-06-04,573.45
156,2016-06-05,574.106
157,2016-06-06,585.531
158,2016-06-07,577.856
159,2016-06-08,583.105
160,2016-06-09,576.454
161,2016-06-10,579.131
162,2016-06-11,611.777
163,2016-06-12,675.343
164,2016-06-13,705.619
165,2016-06-14,685.989
166,2016-06-15,696.323
167,2016-06-16,768.242
168,2016-06-17,747.554
169,2016-06-18,755.684
170,2016-06-19,764.045
171,2016-06-20,727.949
172,2016-06-21,665.876
173,2016-06-22,602.887
174,2016-06-23,625.495
175,2016-06-24,665.162
176,2016-06-25,665.329
177,2016-06-26,630.246
178,2016-06-27,658.399
179,2016-06-28,646.304
180,2016-06-29,639.082
181,2016-06-30,672.485
182,2016-07-01,676.523
183,2016-07-02,703.686
184,2016-07-03,659.688
185,2016-07-04,681.63
186,2016-07-05,668.092
187,2016-07-06,676.113
188,2016-07-07,639.761
189,2016-07-08,664.743
190,2016-07-09,650.627
191,2016-07-10,649.962
192,2016-07-11,649.027
193,2016-07-12,664.839
194,2016-07-13,653.934
195,2016-07-14,659.636
196,2016-07-15,664.876
197,2016-07-16,663.541
198,2016-07-17,679.051
199,2016-07-18,673.594
200,2016-07-19,673.843
201,2016-07-20,666.18
202,2016-07-21,665.099
203,2016-07-22,650.822
