Date,High,Low,Open,Close,Volume,Adj Close
2018-12-04,4082.6799,3770.9199,3871.4099,3948.4399,373361232,3948.4399
2018-12-05,3961.8,3719.1899,3948.4399,3737.53,320944415,3737.53
2018-12-06,3883.4299,3467.9199,3737.53,3485.1799,590923562,3485.1799
2018-12-07,3576.1101,3248.0,3485.1799,3420.5701,699930576,3420.5701
2018-12-08,3602.49,3295.21,3420.5701,3461.0701,357548590,3461.0701
2018-12-09,3718.5801,3436.5,3461.0701,3592.8401,295321498,3592.8401
2018-12-10,3645.49,3416.77,3592.8401,3467.1599,287119758,3467.1599
2018-12-11,3483.5801,3348.98,3467.1599,3401.02,230671778,3401.02
2018-12-12,3545.3701,3380.48,3401.02,3485.5901,257293632,3485.5901
2018-12-13,3493.76,3272.8101,3485.5901,3305.1101,286236674,3305.1101
2018-12-14,3333.24,3180.97,3305.1101,3235.48,290985461,3235.48
2018-12-15,3271.76,3169.53,3235.48,3232.51,165378769,3232.51
2018-12-16,3319.8301,3227.3999,3232.51,3255.3701,148182655,3255.3701
2018-12-17,3639.6499,3239.0601,3255.3701,3548.1899,412454521,3548.1899
2018-12-18,3727.99,3481.46,3548.1899,3715.8501,327807644,3715.8501
2018-12-19,3969.7,3693.5701,3715.8501,3736.54,620695447,3736.54
2018-12-20,4225.52,3712.8201,3736.54,4137.6602,724855205,4137.6602
2018-12-21,4247.71,3831.2,4137.6602,3898.8101,516656937,3898.8101
2018-12-22,4060.3401,3849.23,3898.8101,4045.24,250085915,4045.24
2018-12-23,4117.6499,3972.3899,4045.24,4007.6299,235997621,4007.6299
2018-12-24,4303.3701,4006.6001,4007.6299,4081.95,459290147,4081.95
2018-12-25,4094.6101,3734.8501,4081.95,3834.73,367200910,3834.73
2018-12-26,3923.9299,3746.8601,3834.73,3848.78,263439573,3848.78
2018-12-27,3888.9199,3622.3899,3848.78,3646.0901,305729129,3646.0901
2018-12-28,4007.71,3628.4299,3646.0901,3947.8601,353705007,3947.8601
2018-12-29,4004.1399,3774.3799,3947.8601,3797.0601,214891355,3797.0601
2018-12-30,3925.1799,3760.8,3797.0601,3896.21,191958416,3896.21
2018-12-31,3904.28,3701.48,3896.21,3747.3899,206190463,3747.3899
2019-01-01,3938.75,3696.9399,3747.3899,3880.1499,170598307,3880.1499
2019-01-02,3989.5901,3826.29,3880.1499,3961.01,210854603,3961.01
2019-01-03,3965.52,3778.76,3961.01,3835.8601,176488072,3835.8601
