2016-01-01,20334286.005885076
2016-01-02,14566820.00615962
2016-01-03,23490162.00574307
2016-01-04,22943968.00578179
2016-01-05,19499588.005935907
2016-01-06,18702334.005921178
2016-01-07,58253615.00447869
2016-01-08,41594025.00540481
2016-01-09,17967113.006283466
2016-01-10,19778456.006125078
2016-01-11,25358480.005915727
2016-01-12,19913400.00613551
2016-01-13,39525195.00519467
2016-01-14,19948730.00589456
2016-01-15,107060613.00204219
2016-01-16,68297105.00300172
2016-01-17,25464382.004951593
2016-01-18,26546465.00485397
2016-01-19,25417876.00491916
2016-01-20,76873917.0030214
2016-01-21,37264942.004935235
2016-01-22,56548790.003929295
2016-01-23,23908533.005040165
2016-01-24,25770175.0050764
2016-01-25,26793044.0051033
2016-01-26,22384754.005203903
2016-01-27,17297117.00539869
2016-01-28,29717813.00485328
2016-01-29,51927041.00375915
2016-01-30,13720656.005338812
2016-01-31,14718855.005239595
2016-02-01,27728088.004660632
2016-02-02,19123252.00503237
2016-02-03,22266682.0048856
2016-02-04,38961905.00427712
2016-02-05,23688228.005087443
2016-02-06,29801286.004736584
2016-02-07,15395728.005258113
2016-02-08,23424062.004915867
2016-02-09,20801701.004972324
2016-02-10,37137791.00438226
2016-02-11,23858467.00493484
2016-02-12,20685663.00509915
2016-02-13,18757146.005254265
2016-02-14,29442484.004960403
2016-02-15,34862753.00488037
2016-02-16,27726590.00514623
2016-02-17,37559686.00487534
2016-02-18,32541108.00520315
2016-02-19,21991480.005652312
2016-02-20,48500793.00469054
2016-02-21,44120520.00502866
2016-02-22,24563748.00579401
2016-02-23,39915706.00509576
2016-02-24,28041199.00537644
2016-02-25,22692099.00565255
2016-02-26,22642013.005668405
2016-02-27,18543436.005929455
2016-02-28,21876091.005794846
2016-02-29,30077319.005542245
2016-03-01,29312670.005573638
2016-03-02,24894311.00570143
2016-03-03,33188751.005222607
2016-03-04,31416610.005213376
2016-03-05,51725937.00416965
2016-03-06,25324456.00522154
2016-03-07,25349627.005324636
2016-03-08,22204517.00552991
2016-03-09,21035428.005553883
2016-03-10,23114636.00549511
2016-03-11,25469781.005466346
2016-03-12,24660321.00546812
2016-03-13,14457108.005820377
2016-03-14,20471909.005596694
2016-03-15,20227610.005628996
2016-03-16,18509954.005705185
2016-03-17,18409340.005737357
2016-03-18,27178165.00532816
2016-03-19,15084656.005717922
2016-03-20,12577521.00586273
2016-03-21,17735457.005667303
2016-03-22,20425092.00560009
2016-03-23,16946522.005792644
2016-03-24,16210672.005809708
2016-03-25,14431200.00586551
2016-03-26,11696306.0059906
2016-03-27,26137150.00547222
2016-03-27,18410749.005835608
2016-03-28,28765857.005336646
2016-03-29,17890792.005702004
2016-03-30,17407273.005727865
2016-03-31,15852511.005812295
2016-04-01,13137339.005950706
2016-04-02,9591214.006118385
2016-04-03,14031939.005939497
2016-04-04,17260368.00583692
2016-04-05,13836754.005992427
2016-04-06,15200495.00592114
2016-04-07,19810838.00572555
2016-04-08,12291880.00597587
2016-04-09,9806327.006114056
2016-04-10,15374195.00591141
2016-04-11,24580503.005582016
2016-04-12,16183793.005941365
2016-04-13,13038970.006057508
2016-04-14,23214560.005678415
2016-04-15,12517265.006165959
2016-04-16,10980868.00621308
2016-04-17,13951524.006067306
2016-04-18,19713466.005892593
2016-04-19,32655415.00547224
2016-04-20,28168774.005763587
2016-04-21,22225157.006054524
2016-04-22,18998211.00617632
2016-04-23,33984269.00567599
2016-04-24,37614684.00561173
2016-04-25,31451239.005932637
2016-04-26,41539684.00547226
2016-04-27,36369788.00543221
2016-04-28,20264761.006178882
2016-04-29,15994805.006395321
2016-04-30,9838490.006599724
2016-05-01,32863011.00565224
2016-05-02,22292253.006030552
2016-05-03,17676609.006257985
2016-05-04,18765369.006181903
2016-05-05,31122708.005769093
2016-05-06,14247601.00654858
2016-05-07,12689581.006605001
2016-05-08,22322043.006236974
2016-05-09,27247925.00599927
2016-05-10,18137209.006289415
2016-05-11,22252919.00612945
2016-05-12,14768796.006467056
2016-05-13,9319128.006705202
2016-05-14,9745309.006714197
2016-05-15,16731954.006416397
2016-05-16,15741822.006426018
2016-05-17,14884550.006457146
2016-05-18,26626097.005926225
2016-05-19,21415312.00600787
2016-05-20,10213550.006464168
2016-05-21,12691382.006353246
2016-05-22,15885933.006213464
2016-05-23,14837671.00631127
2016-05-24,16954105.00627264
2016-05-25,17093327.006314125
2016-05-26,63894987.004603885
2016-05-27,75400711.00460663
2016-05-28,80753301.00486827
2016-05-29,41433165.00648609
2016-05-30,60896411.005801536
2016-05-31,38742660.006692156
2016-06-01,28380698.00719506
2016-06-02,59464310.006133996
2016-06-03,50353517.00689036
2016-06-04,37233994.00742913
2016-06-05,37131086.0074845
2016-06-06,49082472.00693867
2016-06-07,28706216.007786095
2016-06-08,28010575.00783754
2016-06-09,26290866.007877465
2016-06-10,24790441.008053213
2016-06-11,139684630.00406644
2016-06-12,149442548.0045415
2016-06-13,92458349.00694156
2016-06-14,53863568.00845652
2016-06-15,169704647.00429982
2016-06-16,160302360.00514093
2016-06-17,91056993.00797996
2016-06-18,45805980.00986256
2016-06-19,83637617.00825994
2016-06-20,166828425.0041423
2016-06-21,129550795.00481014
2016-06-22,154289129.00291553
2016-06-23,128990817.00478403
2016-06-24,67442141.0075798
2016-06-25,56403088.007786505
2016-06-26,63747137.007233344
2016-06-27,49673830.00804301
2016-06-28,50898093.00786128
2016-06-29,58215062.00771708
2016-06-30,62394480.00793291
2016-07-01,46555796.00873094
2016-07-02,66591456.007922225
2016-07-03,42756935.00856735
